,video_path,frame_idx,cord_1_x,cord_1_y,cord_2_x,cord_2_y,cord_3_x,cord_3_y
0,games\1\1_01.mp4,0,449,325,448,320,448,316
1,games\1\1_01.mp4,1,448,320,448,316,447,313
2,games\1\1_01.mp4,2,448,316,447,313,447,313
3,games\1\1_01.mp4,3,447,313,447,313,450,314
4,games\1\1_01.mp4,4,447,313,450,314,447,312
5,games\1\1_01.mp4,5,450,314,447,312,448,313
6,games\1\1_01.mp4,6,447,312,448,313,448,313
7,games\1\1_01.mp4,7,448,313,448,313,447,315
8,games\1\1_01.mp4,8,448,313,447,315,447,319
9,games\1\1_01.mp4,9,447,315,447,319,447,325
10,games\1\1_01.mp4,10,447,319,447,325,446,327
11,games\1\1_01.mp4,11,447,325,446,327,448,333
12,games\1\1_01.mp4,12,446,327,448,333,0,0
13,games\1\1_01.mp4,13,448,333,0,0,446,345
14,games\1\1_01.mp4,14,0,0,446,345,0,0
15,games\1\1_01.mp4,15,446,345,0,0,467,327
16,games\1\1_01.mp4,16,0,0,467,327,483,319
17,games\1\1_01.mp4,17,467,327,483,319,499,312
18,games\1\1_01.mp4,18,483,319,499,312,514,306
19,games\1\1_01.mp4,19,499,312,514,306,530,297
20,games\1\1_01.mp4,20,514,306,530,297,548,296
21,games\1\1_01.mp4,21,530,297,548,296,567,292
22,games\1\1_01.mp4,22,548,296,567,292,589,290
23,games\1\1_01.mp4,23,567,292,589,290,608,289
24,games\1\1_01.mp4,24,589,290,608,289,631,293
25,games\1\1_01.mp4,25,608,289,631,293,656,297
26,games\1\1_01.mp4,26,631,293,656,297,679,300
27,games\1\1_01.mp4,27,656,297,679,300,710,310
28,games\1\1_01.mp4,28,679,300,710,310,739,322
29,games\1\1_01.mp4,29,710,310,739,322,765,330
30,games\1\1_01.mp4,30,739,322,765,330,801,351
31,games\1\1_01.mp4,31,765,330,801,351,837,365
32,games\1\1_01.mp4,32,801,351,837,365,872,385
33,games\1\1_01.mp4,33,837,365,872,385,0,0
34,games\1\1_01.mp4,34,872,385,0,0,0,0
35,games\1\1_01.mp4,35,0,0,0,0,0,0
36,games\1\1_01.mp4,36,0,0,0,0,920,346
37,games\1\1_01.mp4,37,0,0,920,346,917,319
38,games\1\1_01.mp4,38,920,346,917,319,912,291
39,games\1\1_01.mp4,39,917,319,912,291,907,268
40,games\1\1_01.mp4,40,912,291,907,268,901,244
41,games\1\1_01.mp4,41,907,268,901,244,897,224
42,games\1\1_01.mp4,42,901,244,897,224,894,202
43,games\1\1_01.mp4,43,897,224,894,202,889,185
44,games\1\1_01.mp4,44,894,202,889,185,886,167
45,games\1\1_01.mp4,45,889,185,886,167,881,151
46,games\1\1_01.mp4,46,886,167,881,151,877,138
47,games\1\1_01.mp4,47,881,151,877,138,875,128
48,games\1\1_01.mp4,48,877,138,875,128,870,115
49,games\1\1_01.mp4,49,875,128,870,115,867,108
50,games\1\1_01.mp4,50,870,115,867,108,864,101
51,games\1\1_01.mp4,51,867,108,864,101,861,92
52,games\1\1_01.mp4,52,864,101,861,92,857,90
53,games\1\1_01.mp4,53,861,92,857,90,854,87
54,games\1\1_01.mp4,54,857,90,854,87,848,87
55,games\1\1_01.mp4,55,854,87,848,87,846,91
56,games\1\1_01.mp4,56,848,87,846,91,844,94
57,games\1\1_01.mp4,57,846,91,844,94,841,96
58,games\1\1_01.mp4,58,844,94,841,96,837,97
59,games\1\1_01.mp4,59,841,96,837,97,835,101
60,games\1\1_01.mp4,60,837,97,835,101,832,107
61,games\1\1_01.mp4,61,835,101,832,107,830,112
62,games\1\1_01.mp4,62,832,107,830,112,826,120
63,games\1\1_01.mp4,63,830,112,826,120,823,129
64,games\1\1_01.mp4,64,826,120,823,129,822,140
65,games\1\1_01.mp4,65,823,129,822,140,820,154
66,games\1\1_01.mp4,66,822,140,820,154,816,165
67,games\1\1_01.mp4,67,820,154,816,165,815,179
68,games\1\1_01.mp4,68,816,165,815,179,811,195
69,games\1\1_01.mp4,69,815,179,811,195,806,211
70,games\1\1_01.mp4,70,811,195,806,211,805,226
71,games\1\1_01.mp4,71,806,211,805,226,802,243
72,games\1\1_01.mp4,72,805,226,802,243,800,263
73,games\1\1_01.mp4,73,802,243,800,263,799,283
74,games\1\1_01.mp4,74,800,263,799,283,796,304
75,games\1\1_01.mp4,75,799,283,796,304,794,326
76,games\1\1_01.mp4,76,796,304,794,326,793,343
77,games\1\1_01.mp4,77,794,326,793,343,798,322
78,games\1\1_01.mp4,78,793,343,798,322,803,296
79,games\1\1_01.mp4,79,798,322,803,296,808,276
80,games\1\1_01.mp4,80,803,296,808,276,817,256
81,games\1\1_01.mp4,81,808,276,817,256,823,238
82,games\1\1_01.mp4,82,817,256,823,238,828,221
83,games\1\1_01.mp4,83,823,238,828,221,834,203
84,games\1\1_01.mp4,84,828,221,834,203,839,191
85,games\1\1_01.mp4,85,834,203,839,191,845,177
86,games\1\1_01.mp4,86,839,191,845,177,850,166
87,games\1\1_01.mp4,87,845,177,850,166,855,156
88,games\1\1_01.mp4,88,850,166,855,156,860,146
89,games\1\1_01.mp4,89,855,156,860,146,866,140
90,games\1\1_01.mp4,90,860,146,866,140,875,137
91,games\1\1_01.mp4,91,866,140,875,137,875,135
92,games\1\1_01.mp4,92,875,137,875,135,885,129
93,games\1\1_01.mp4,93,875,135,885,129,885,127
94,games\1\1_01.mp4,94,885,129,885,127,896,128
95,games\1\1_01.mp4,95,885,127,896,128,899,128
96,games\1\1_01.mp4,96,896,128,899,128,909,130
97,games\1\1_01.mp4,97,899,128,909,130,913,134
98,games\1\1_01.mp4,98,909,130,913,134,915,137
99,games\1\1_01.mp4,99,913,134,915,137,924,142
100,games\1\1_01.mp4,100,915,137,924,142,929,147
101,games\1\1_01.mp4,101,924,142,929,147,934,156
102,games\1\1_01.mp4,102,929,147,934,156,940,167
103,games\1\1_01.mp4,103,934,156,940,167,943,177
104,games\1\1_01.mp4,104,940,167,943,177,948,186
105,games\1\1_01.mp4,105,943,177,948,186,955,198
106,games\1\1_01.mp4,106,948,186,955,198,958,214
107,games\1\1_01.mp4,107,955,198,958,214,966,228
108,games\1\1_01.mp4,108,958,214,966,228,970,242
109,games\1\1_01.mp4,109,966,228,970,242,975,260
110,games\1\1_01.mp4,110,970,242,975,260,978,279
111,games\1\1_01.mp4,111,975,260,978,279,963,289
112,games\1\1_01.mp4,112,978,279,963,289,908,300
113,games\1\1_01.mp4,113,963,289,908,300,857,307
114,games\1\1_01.mp4,114,908,300,857,307,814,320
115,games\1\1_01.mp4,115,857,307,814,320,0,0
116,games\1\1_01.mp4,116,814,320,0,0,737,346
